protein,k,actual_k,M_score,M_score_frac,M_attn,M_attn_frac,score_rank,attn_rank
3FUCA,100,100,2.202840,0.2710,0.425962,0.4396,1,1
3FUCA,200,200,1.850155,0.2276,0.290875,0.3002,1,1
3FUCA,500,500,-1.162303,-0.1430,0.002705,0.0028,150,37
3OOPA,1,1,3.200853,0.4579,0.209844,0.2951,2,2
3OOPA,2,2,2.106707,0.3014,0.076042,0.1069,3,3
3OOPA,5,5,3.200585,0.4578,0.071191,0.1001,3,3
3OOPA,10,10,3.511519,0.5023,0.095770,0.1347,3,2
3OOPA,20,20,3.865257,0.5529,0.379879,0.5342,1,1
3OOPA,50,50,3.797181,0.5432,0.554820,0.7803,1,1
3OOPA,100,100,3.385664,0.4843,0.209768,0.2950,1,1
3OOPA,200,200,2.889604,0.4133,0.080532,0.1133,2,2
3OOPA,500,500,3.524049,0.5041,0.145473,0.2046,2,1
1HDKA,1,1,-1.080814,-0.1502,0.000995,0.0010,43,127
1HDKA,2,2,-0.835562,-0.1161,0.001212,0.0012,59,123
1HDKA,5,5,-0.854366,-0.1188,0.000706,0.0007,73,140
1HDKA,10,10,-0.364094,-0.0506,0.001058,0.0011,80,136
1HDKA,20,20,-0.313226,-0.0435,0.001124,0.0011,77,134
1HDKA,50,50,0.152386,0.0212,0.001226,0.0012,72,133
1HDKA,100,100,0.835929,0.1162,0.004907,0.0050,39,58
1HDKA,200,200,1.230245,0.1710,0.003976,0.0040,50,38
1HDKA,500,500,4.580301,0.6366,0.107671,0.1092,2,3
1TUVA,1,1,2.299149,0.3260,0.002686,0.0028,62,70
1TUVA,2,2,2.105122,0.2985,0.002537,0.0026,73,75
1TUVA,5,5,2.128989,0.3019,0.002370,0.0025,55,73
1TUVA,10,10,2.228567,0.3160,0.005582,0.0058,73,42
1TUVA,20,20,1.819898,0.2581,0.004412,0.0046,84,53
1TUVA,50,50,1.334847,0.1893,0.004274,0.0044,93,50
1TUVA,100,100,-0.780050,-0.1106,0.000434,0.0005,83,94
1TUVA,200,200,-0.396763,-0.0563,0.001658,0.0017,60,46
1TUVA,500,500,3.690942,0.5234,0.331907,0.3448,1,1
4DE9A,1,1,-0.193950,-0.0242,0.000625,0.0007,31,68
4DE9A,2,2,-0.012965,-0.0016,0.000412,0.0004,31,222
4DE9A,5,5,0.656106,0.0820,0.001867,0.0020,13,13
4DE9A,10,10,1.157383,0.1447,0.002787,0.0030,14,13
4DE9A,20,20,2.004142,0.2505,0.004293,0.0045,17,15
4DE9A,50,50,3.878420,0.4849,0.014581,0.0154,13,10
4DE9A,100,100,5.293878,0.6618,0.119885,0.1269,3,3
4DE9A,200,200,4.408423,0.5511,0.188907,0.2000,2,2
4DE9A,500,500,4.910739,0.6139,0.123609,0.1309,1,1
1S3CA,1,1,0.641754,0.1046,0.096951,0.1543,3,3
1S3CA,2,2,0.587840,0.0958,0.019883,0.0316,5,5
1S3CA,5,5,-0.209952,-0.0342,0.010000,0.0159,5,5
1S3CA,10,10,0.810825,0.1322,0.040782,0.0649,4,4
1S3CA,20,20,1.373846,0.2239,0.013278,0.0211,6,6
1S3CA,50,50,2.731625,0.4452,0.022985,0.0366,7,7
1S3CA,100,100,2.256778,0.3678,0.025541,0.0407,5,5
1S3CA,200,200,1.791392,0.2920,0.018112,0.0288,8,9
1S3CA,500,500,1.768778,0.2883,0.039887,0.0635,11,4
