component,protein,clean_score,corrupt_score,delta_d_proj,frac_of_total
attn_L1_H1,3FF9A,-0.166781,-0.155645,-0.011136,-0.001904
attn_L1_H1,3FZ4A,-0.052915,-0.044847,-0.008068,-0.000931
attn_L1_H1,3G5TA,0.037752,0.008171,0.029582,0.001468
attn_L1_H1,3GX8A,-0.049616,-0.054531,0.004915,0.000505
attn_L1_H1,3JRNA,0.095143,0.037320,0.057823,0.003503
attn_L1_H1,3L51A,0.108676,0.051659,0.057017,0.006103
attn_L1_H1,3LWXA,0.083629,0.044758,0.038872,0.005957
attn_L1_H1,3N08A,-0.011484,-0.022925,0.011441,0.001172
attn_L1_H1,3NY7A,0.045271,0.015848,0.029423,0.002712
attn_L1_H1,3PU9A,-0.160378,-0.138650,-0.021728,-0.001470
attn_L1_H1,3R6DA,-0.070770,-0.118922,0.048152,0.003532
attn_L1_H1,3RHBA,-0.160389,-0.162884,0.002495,0.000186
attn_L1_H1,3ZSJA,0.107572,0.045687,0.061886,0.004795
attn_L1_H1,4GS1A,-0.209052,-0.179597,-0.029455,-0.003832
attn_L1_H1,4I8HA,-0.087374,-0.005437,-0.081937,-0.012586
attn_L1_H1,4K8WA,0.043768,0.005046,0.038722,0.004399
attn_L1_H1,4LBHA,-0.160768,-0.141608,-0.019160,-0.002195
attn_L1_H1,4LH6A,-0.037261,-0.030624,-0.006637,-0.000408
attn_L1_H1,4MUOA,-0.371637,-0.384282,0.012645,0.000615
attn_L1_H1,4MZCA,0.025265,0.012654,0.012610,0.001481
attn_L1_H1,4PEDA,-0.007298,-0.028979,0.021682,0.000854
attn_L1_H1,4RVCA,-0.193513,-0.205555,0.012042,0.001032
attn_L1_H1,4TL6A,-0.154985,-0.158146,0.003161,0.000215
attn_L1_H1,4WBJA,0.047084,0.013733,0.033351,0.002910
attn_L1_H1,4XRAA,0.038597,0.027657,0.010940,0.000519
attn_L1_H1,5AJGA,-0.159174,-0.154407,-0.004767,-0.000304
attn_L1_H2,1CUKA,-0.207497,-0.285177,0.077680,0.006023
attn_L1_H2,1F86A,-0.230415,-0.270013,0.039598,0.003357
attn_L1_H2,1G3QA,-0.245966,-0.330214,0.084248,0.005465
attn_L1_H2,1H4XA,-0.139684,-0.226588,0.086903,0.003711
attn_L1_H2,1HDKA,-0.241852,-0.288542,0.046690,0.004153
attn_L1_H2,1KMVA,-0.205376,-0.273223,0.067847,0.003862
attn_L1_H2,1S3CA,-0.157216,-0.204372,0.047156,0.007213
attn_L1_H2,1T2WA,-0.165835,-0.237112,0.071276,0.015304
attn_L1_H2,1U2KA,-0.136162,-0.232876,0.096714,0.006648
attn_L1_H2,2CZQA,-0.165179,-0.220499,0.055320,0.003769
attn_L1_H2,2D2EA,-0.224410,-0.265697,0.041288,0.002561
attn_L1_H2,2D59A,-0.222901,-0.288525,0.065624,0.007074
attn_L1_H2,2D5MA,-0.232685,-0.314886,0.082200,0.006788
attn_L1_H2,2DYIA,-0.180305,-0.275582,0.095277,0.009508
attn_L1_H2,2GK4A,-0.158016,-0.219554,0.061538,0.006963
attn_L1_H2,2II1A,-0.108800,-0.189589,0.080790,0.005992
attn_L1_H2,2O2KA,-0.026883,-0.218708,0.191825,0.031725
attn_L1_H2,2OZEA,-0.286425,-0.329950,0.043525,0.004460
attn_L1_H2,2PJZA,-0.252145,-0.289773,0.037628,0.002809
attn_L1_H2,2WAWA,-0.166778,-0.229117,0.062338,0.003589
attn_L1_H2,2YC3A,-0.275213,-0.349694,0.074481,0.007122
attn_L1_H2,3BZMA,-0.253248,-0.255374,0.002126,0.000743
attn_L1_H2,3C8MA,-0.166663,-0.232555,0.065892,0.003344
attn_L1_H2,3EYEA,-0.148163,-0.220148,0.071985,0.004991
attn_L1_H2,3FF9A,-0.194314,-0.261407,0.067093,0.011469
attn_L1_H2,3FZ4A,-0.208361,-0.259415,0.051054,0.005890
attn_L1_H2,3G5TA,-0.097551,-0.210588,0.113038,0.005610
attn_L1_H2,3GX8A,-0.282997,-0.314794,0.031797,0.003265
attn_L1_H2,3JRNA,-0.123775,-0.230589,0.106814,0.006471
attn_L1_H2,3L51A,-0.176760,-0.246175,0.069415,0.007430
attn_L1_H2,3LWXA,-0.165387,-0.235240,0.069853,0.010705
attn_L1_H2,3N08A,-0.181261,-0.253353,0.072092,0.007386
attn_L1_H2,3NY7A,-0.187266,-0.252474,0.065208,0.006011
attn_L1_H2,3PU9A,-0.143372,-0.200928,0.057556,0.003894
attn_L1_H2,3R6DA,-0.225257,-0.305131,0.079874,0.005859
attn_L1_H2,3RHBA,-0.235260,-0.286456,0.051196,0.003814
attn_L1_H2,3ZSJA,-0.178076,-0.257417,0.079341,0.006148
attn_L1_H2,4GS1A,-0.179727,-0.214169,0.034442,0.004481
attn_L1_H2,4I8HA,-0.289092,-0.321337,0.032245,0.004953
attn_L1_H2,4K8WA,-0.117881,-0.201024,0.083143,0.009446
attn_L1_H2,4LBHA,-0.311575,-0.334302,0.022727,0.002603
attn_L1_H2,4LH6A,-0.180705,-0.239657,0.058953,0.003627
attn_L1_H2,4MUOA,-0.219622,-0.290181,0.070558,0.003431
attn_L1_H2,4MZCA,-0.250452,-0.277104,0.026652,0.003131
attn_L1_H2,4PEDA,-0.200941,-0.244275,0.043334,0.001707
attn_L1_H2,4RVCA,-0.307673,-0.381421,0.073747,0.006320
attn_L1_H2,4TL6A,-0.133874,-0.232794,0.098920,0.006715
attn_L1_H2,4WBJA,-0.140161,-0.259605,0.119444,0.010424
attn_L1_H2,4XRAA,-0.147087,-0.251516,0.104429,0.004956
attn_L1_H2,5AJGA,-0.220653,-0.276172,0.055518,0.003542
attn_L1_H3,1CUKA,-0.035206,-0.059765,0.024559,0.001904
attn_L1_H3,1F86A,0.072511,0.025025,0.047486,0.004026
attn_L1_H3,1G3QA,-0.125535,-0.140928,0.015393,0.000999
attn_L1_H3,1H4XA,0.048763,-0.006399,0.055163,0.002356
attn_L1_H3,1HDKA,-0.148167,-0.154683,0.006516,0.000580
attn_L1_H3,1KMVA,-0.009579,-0.054005,0.044426,0.002529
attn_L1_H3,1S3CA,0.080111,0.007269,0.072843,0.011142
attn_L1_H3,1T2WA,-0.020590,-0.055642,0.035052,0.007526
attn_L1_H3,1U2KA,0.047554,0.001367,0.046187,0.003175
attn_L1_H3,2CZQA,-0.108666,-0.106666,-0.002000,-0.000136
attn_L1_H3,2D2EA,-0.046139,-0.065445,0.019306,0.001197
attn_L1_H3,2D59A,-0.075014,-0.107315,0.032301,0.003482
attn_L1_H3,2D5MA,-0.146376,-0.132732,-0.013644,-0.001127
attn_L1_H3,2DYIA,-0.041677,-0.077294,0.035616,0.003554
attn_L1_H3,2GK4A,0.003291,-0.014805,0.018096,0.002048
attn_L1_H3,2II1A,-0.033381,-0.039225,0.005843,0.000433
attn_L1_H3,2O2KA,0.067064,-0.016030,0.083094,0.013742
attn_L1_H3,2OZEA,-0.084976,-0.104884,0.019908,0.002040
attn_L1_H3,2PJZA,-0.126874,-0.145404,0.018530,0.001383
attn_L1_H3,2WAWA,-0.089757,-0.110145,0.020388,0.001174
attn_L1_H3,2YC3A,-0.133856,-0.179978,0.046122,0.004410
attn_L1_H3,3BZMA,-0.068275,-0.082816,0.014542,0.005081
attn_L1_H3,3C8MA,-0.071964,-0.102536,0.030572,0.001552
attn_L1_H3,3EYEA,-0.087751,-0.124724,0.036974,0.002563
attn_L1_H3,3FF9A,-0.045226,-0.081320,0.036094,0.006170
attn_L1_H3,3FZ4A,-0.115503,-0.148881,0.033378,0.003851
attn_L1_H3,3G5TA,-0.072735,-0.134573,0.061838,0.003069
attn_L1_H3,3GX8A,-0.096077,-0.086951,-0.009126,-0.000937
attn_L1_H3,3JRNA,-0.143425,-0.180381,0.036956,0.002239
attn_L1_H3,3L51A,-0.016642,-0.017763,0.001121,0.000120
attn_L1_H3,3LWXA,-0.029667,-0.067113,0.037445,0.005739
attn_L1_H3,3N08A,-0.111490,-0.133082,0.021592,0.002212
attn_L1_H3,3NY7A,-0.034576,-0.061469,0.026893,0.002479
attn_L1_H3,3PU9A,-0.038749,-0.053109,0.014360,0.000972
attn_L1_H3,3R6DA,-0.190375,-0.194428,0.004053,0.000297
attn_L1_H3,3RHBA,-0.275342,-0.251841,-0.023501,-0.001751
attn_L1_H3,3ZSJA,-0.151425,-0.164177,0.012752,0.000988
attn_L1_H3,4GS1A,-0.084652,-0.107291,0.022639,0.002946
attn_L1_H3,4I8HA,0.021987,-0.034413,0.056400,0.008664
attn_L1_H3,4K8WA,-0.143331,-0.168636,0.025304,0.002875
attn_L1_H3,4LBHA,-0.058653,-0.066285,0.007632,0.000874
attn_L1_H3,4LH6A,-0.079674,-0.085405,0.005731,0.000353
attn_L1_H3,4MUOA,-0.105015,-0.121952,0.016937,0.000824
attn_L1_H3,4MZCA,-0.189642,-0.195205,0.005563,0.000654
attn_L1_H3,4PEDA,-0.113342,-0.160912,0.047570,0.001874
attn_L1_H3,4RVCA,-0.157179,-0.144335,-0.012843,-0.001101
attn_L1_H3,4TL6A,0.190452,0.094484,0.095968,0.006514
attn_L1_H3,4WBJA,-0.005002,-0.043115,0.038113,0.003326
attn_L1_H3,4XRAA,-0.120811,-0.146340,0.025529,0.001211
attn_L1_H3,5AJGA,-0.144198,-0.165219,0.021020,0.001341
attn_L1_H4,1CUKA,-0.130255,-0.162205,0.031950,0.002477
attn_L1_H4,1F86A,-0.097375,-0.150860,0.053485,0.004535
attn_L1_H4,1G3QA,-0.172718,-0.200226,0.027509,0.001784
attn_L1_H4,1H4XA,-0.048845,-0.102823,0.053978,0.002305
attn_L1_H4,1HDKA,-0.117109,-0.158228,0.041119,0.003658
attn_L1_H4,1KMVA,-0.118638,-0.175485,0.056846,0.003236
attn_L1_H4,1S3CA,-0.063244,-0.114983,0.051739,0.007914
attn_L1_H4,1T2WA,-0.069172,-0.138586,0.069415,0.014904
attn_L1_H4,1U2KA,-0.111218,-0.153429,0.042211,0.002901
attn_L1_H4,2CZQA,-0.066213,-0.109836,0.043623,0.002972
attn_L1_H4,2D2EA,-0.143796,-0.174036,0.030240,0.001876
attn_L1_H4,2D59A,-0.151843,-0.180932,0.029088,0.003136
attn_L1_H4,2D5MA,-0.129028,-0.168494,0.039467,0.003259
attn_L1_H4,2DYIA,-0.155549,-0.172189,0.016640,0.001661
attn_L1_H4,2GK4A,-0.092142,-0.136042,0.043900,0.004968
attn_L1_H4,2II1A,-0.096572,-0.122883,0.026311,0.001952
attn_L1_H4,2O2KA,-0.002111,-0.077452,0.075341,0.012460
attn_L1_H4,2OZEA,-0.138079,-0.177710,0.039631,0.004061
attn_L1_H4,2PJZA,-0.152808,-0.177075,0.024266,0.001811
attn_L1_H4,2WAWA,-0.093772,-0.138533,0.044761,0.002577
attn_L1_H4,2YC3A,-0.151402,-0.175200,0.023798,0.002276
attn_L1_H4,3BZMA,-0.123550,-0.135794,0.012244,0.004278
attn_L1_H4,3C8MA,-0.138670,-0.179448,0.040778,0.002070
attn_L1_H4,3EYEA,-0.073224,-0.124956,0.051731,0.003587
attn_L1_H4,3FF9A,-0.096810,-0.134088,0.037278,0.006372
attn_L1_H4,3FZ4A,-0.148746,-0.192377,0.043631,0.005034
attn_L1_H4,3G5TA,-0.088685,-0.146803,0.058118,0.002884
attn_L1_H4,3GX8A,-0.172807,-0.192851,0.020044,0.002058
attn_L1_H4,3JRNA,-0.126567,-0.175235,0.048669,0.002948
attn_L1_H4,3L51A,-0.136308,-0.185948,0.049640,0.005313
attn_L1_H4,3LWXA,-0.086673,-0.128091,0.041418,0.006348
attn_L1_H4,3N08A,-0.166457,-0.211205,0.044749,0.004585
attn_L1_H4,3NY7A,-0.049492,-0.128294,0.078803,0.007265
attn_L1_H4,3PU9A,-0.092614,-0.138607,0.045994,0.003112
attn_L1_H4,3R6DA,-0.145547,-0.177437,0.031890,0.002339
attn_L1_H4,3RHBA,-0.128422,-0.155859,0.027437,0.002044
attn_L1_H4,3ZSJA,-0.046855,-0.125273,0.078418,0.006076
attn_L1_H4,4GS1A,-0.104243,-0.139572,0.035328,0.004597
attn_L1_H4,4I8HA,-0.168709,-0.175431,0.006722,0.001033
attn_L1_H4,4K8WA,-0.073526,-0.118704,0.045178,0.005133
attn_L1_H4,4LBHA,-0.176327,-0.182659,0.006333,0.000725
attn_L1_H4,4LH6A,-0.133421,-0.173176,0.039755,0.002446
attn_L1_H4,4MUOA,-0.106894,-0.149521,0.042627,0.002073
attn_L1_H4,4MZCA,-0.132728,-0.171762,0.039034,0.004586
attn_L1_H4,4PEDA,-0.125991,-0.153432,0.027442,0.001081
attn_L1_H4,4RVCA,-0.168186,-0.197801,0.029615,0.002538
attn_L1_H4,4TL6A,-0.087146,-0.142873,0.055728,0.003783
attn_L1_H4,4WBJA,-0.081934,-0.130300,0.048366,0.004221
attn_L1_H4,4XRAA,-0.118574,-0.184088,0.065515,0.003109
attn_L1_H4,5AJGA,-0.140281,-0.181499,0.041218,0.002630
attn_L1_H5,1CUKA,0.191484,0.198029,-0.006545,-0.000507
attn_L1_H5,1F86A,0.172060,0.223139,-0.051078,-0.004331
attn_L1_H5,1G3QA,0.216844,0.210792,0.006053,0.000393
attn_L1_H5,1H4XA,0.043086,0.148232,-0.105146,-0.004491
attn_L1_H5,1HDKA,0.191469,0.196865,-0.005396,-0.000480
attn_L1_H5,1KMVA,0.184766,0.220671,-0.035905,-0.002044
attn_L1_H5,1S3CA,0.189039,0.205033,-0.015994,-0.002446
attn_L1_H5,1T2WA,0.198597,0.272349,-0.073752,-0.015835
attn_L1_H5,1U2KA,0.171746,0.190812,-0.019066,-0.001310
attn_L1_H5,2CZQA,0.123184,0.177496,-0.054313,-0.003700
attn_L1_H5,2D2EA,0.165013,0.192976,-0.027963,-0.001734
attn_L1_H5,2D59A,0.216952,0.208126,0.008826,0.000951
attn_L1_H5,2D5MA,0.190813,0.204810,-0.013997,-0.001156
attn_L1_H5,2DYIA,0.149408,0.176816,-0.027408,-0.002735
attn_L1_H5,2GK4A,0.161249,0.182454,-0.021205,-0.002399
attn_L1_H5,2II1A,0.176712,0.238843,-0.062131,-0.004608
attn_L1_H5,2O2KA,-0.001162,0.129208,-0.130369,-0.021561
attn_L1_H5,2OZEA,0.167135,0.184585,-0.017451,-0.001788
attn_L1_H5,2PJZA,0.191554,0.203891,-0.012337,-0.000921
attn_L1_H5,2WAWA,0.139783,0.189679,-0.049896,-0.002873
attn_L1_H5,2YC3A,0.222401,0.222002,0.000399,0.000038
attn_L1_H5,3BZMA,0.182835,0.193892,-0.011058,-0.003864
attn_L1_H5,3C8MA,0.161730,0.235824,-0.074094,-0.003761
attn_L1_H5,3EYEA,0.196552,0.210329,-0.013777,-0.000955
attn_L1_H5,3FF9A,0.122595,0.167512,-0.044917,-0.007678
attn_L1_H5,3FZ4A,0.176879,0.113097,0.063782,0.007359
attn_L1_H5,3G5TA,0.160395,0.232451,-0.072056,-0.003576
attn_L1_H5,3GX8A,0.191248,0.179003,0.012246,0.001258
attn_L1_H5,3JRNA,0.176321,0.191451,-0.015130,-0.000917
attn_L1_H5,3L51A,0.172056,0.241326,-0.069270,-0.007414
attn_L1_H5,3LWXA,0.154167,0.197995,-0.043828,-0.006717
attn_L1_H5,3N08A,0.184067,0.164068,0.019999,0.002049
attn_L1_H5,3NY7A,0.089911,0.175174,-0.085263,-0.007860
attn_L1_H5,3PU9A,0.081391,0.171956,-0.090565,-0.006128
attn_L1_H5,3R6DA,0.171209,0.191984,-0.020775,-0.001524
attn_L1_H5,3RHBA,0.175279,0.184148,-0.008870,-0.000661
attn_L1_H5,3ZSJA,0.107184,0.186933,-0.079750,-0.006179
attn_L1_H5,4GS1A,0.156813,0.206665,-0.049851,-0.006486
attn_L1_H5,4I8HA,0.167268,0.183026,-0.015758,-0.002421
attn_L1_H5,4K8WA,0.088410,0.193454,-0.105044,-0.011934
attn_L1_H5,4LBHA,0.203591,0.192640,0.010951,0.001254
attn_L1_H5,4LH6A,0.178717,0.218265,-0.039548,-0.002433
attn_L1_H5,4MUOA,0.150067,0.205327,-0.055260,-0.002687
attn_L1_H5,4MZCA,0.198456,0.200113,-0.001658,-0.000195
attn_L1_H5,4PEDA,0.183412,0.224866,-0.041454,-0.001633
attn_L1_H5,4RVCA,0.170685,0.170294,0.000391,0.000034
attn_L1_H5,4TL6A,0.116128,0.192897,-0.076768,-0.005211
attn_L1_H5,4WBJA,0.194452,0.179688,0.014764,0.001288
attn_L1_H5,4XRAA,0.180363,0.204341,-0.023978,-0.001138
attn_L1_H5,5AJGA,0.147202,0.185241,-0.038039,-0.002427
attn_L1_H6,1CUKA,0.103437,0.079664,0.023773,0.001843
attn_L1_H6,1F86A,0.149760,0.154044,-0.004284,-0.000363
attn_L1_H6,1G3QA,0.080013,0.056934,0.023078,0.001497
attn_L1_H6,1H4XA,0.076238,0.137217,-0.060979,-0.002604
attn_L1_H6,1HDKA,0.088586,0.094787,-0.006202,-0.000552
attn_L1_H6,1KMVA,0.115573,0.112093,0.003479,0.000198
attn_L1_H6,1S3CA,0.125176,0.188260,-0.063084,-0.009649
attn_L1_H6,1T2WA,0.093115,0.118771,-0.025656,-0.005509
attn_L1_H6,1U2KA,0.056148,0.067998,-0.011850,-0.000815
attn_L1_H6,2CZQA,0.106288,0.150389,-0.044101,-0.003005
attn_L1_H6,2D2EA,0.101287,0.101984,-0.000697,-0.000043
attn_L1_H6,2D59A,0.091954,0.102610,-0.010656,-0.001149
attn_L1_H6,2D5MA,0.103848,0.082980,0.020868,0.001723
attn_L1_H6,2DYIA,0.034228,0.064061,-0.029833,-0.002977
attn_L1_H6,2GK4A,0.061412,0.096386,-0.034974,-0.003958
attn_L1_H6,2II1A,0.100469,0.111084,-0.010615,-0.000787
attn_L1_H6,2O2KA,0.068187,0.048751,0.019436,0.003214
attn_L1_H6,2OZEA,0.096169,0.116922,-0.020753,-0.002127
attn_L1_H6,2PJZA,0.089008,0.107044,-0.018036,-0.001346
attn_L1_H6,2WAWA,0.050576,0.063432,-0.012856,-0.000740
attn_L1_H6,2YC3A,0.156171,0.125545,0.030626,0.002929
attn_L1_H6,3BZMA,0.074049,0.070653,0.003396,0.001187
attn_L1_H6,3C8MA,0.043360,0.087138,-0.043779,-0.002222
attn_L1_H6,3EYEA,0.050284,0.079791,-0.029506,-0.002046
attn_L1_H6,3FF9A,0.044384,0.068515,-0.024131,-0.004125
attn_L1_H6,3FZ4A,0.072419,0.110610,-0.038191,-0.004406
attn_L1_H6,3G5TA,0.024188,0.072526,-0.048339,-0.002399
attn_L1_H6,3GX8A,0.102311,0.102227,0.000084,0.000009
attn_L1_H6,3JRNA,0.141547,0.167959,-0.026412,-0.001600
attn_L1_H6,3L51A,0.118407,0.138485,-0.020078,-0.002149
attn_L1_H6,3LWXA,0.110356,0.116081,-0.005724,-0.000877
attn_L1_H6,3N08A,0.084248,0.065461,0.018787,0.001925
attn_L1_H6,3NY7A,-0.007182,0.075521,-0.082703,-0.007624
attn_L1_H6,3PU9A,0.012765,0.022382,-0.009616,-0.000651
attn_L1_H6,3R6DA,0.119590,0.097298,0.022292,0.001635
attn_L1_H6,3RHBA,0.120140,0.129694,-0.009554,-0.000712
attn_L1_H6,3ZSJA,0.027155,0.089301,-0.062146,-0.004815
attn_L1_H6,4GS1A,-0.006294,0.020504,-0.026799,-0.003487
attn_L1_H6,4I8HA,0.133117,0.045670,0.087448,0.013433
attn_L1_H6,4K8WA,0.065066,0.138946,-0.073880,-0.008393
attn_L1_H6,4LBHA,0.127819,0.126016,0.001804,0.000207
attn_L1_H6,4LH6A,0.096110,0.136041,-0.039930,-0.002457
attn_L1_H6,4MUOA,0.094046,0.118523,-0.024476,-0.001190
attn_L1_H6,4MZCA,0.109353,0.134251,-0.024897,-0.002925
attn_L1_H6,4PEDA,0.082426,0.035405,0.047021,0.001852
attn_L1_H6,4RVCA,0.070456,0.063939,0.006517,0.000558
attn_L1_H6,4TL6A,0.027966,0.132768,-0.104802,-0.007114
attn_L1_H6,4WBJA,0.070539,0.090943,-0.020404,-0.001781
attn_L1_H6,4XRAA,0.064381,0.069310,-0.004930,-0.000234
attn_L1_H6,5AJGA,0.114150,0.087409,0.026741,0.001706
attn_L1_H7,1CUKA,-0.056936,-0.019099,-0.037836,-0.002934
attn_L1_H7,1F86A,0.201131,0.191019,0.010112,0.000857
attn_L1_H7,1G3QA,-0.069068,-0.017356,-0.051712,-0.003355
attn_L1_H7,1H4XA,-0.035874,-0.015462,-0.020411,-0.000872
attn_L1_H7,1HDKA,-0.052409,-0.028689,-0.023720,-0.002110
attn_L1_H7,1KMVA,0.200081,0.172381,0.027701,0.001577
attn_L1_H7,1S3CA,-0.075774,-0.054547,-0.021226,-0.003247
attn_L1_H7,1T2WA,0.142531,0.159152,-0.016621,-0.003569
attn_L1_H7,1U2KA,0.070533,0.059834,0.010699,0.000735
attn_L1_H7,2CZQA,0.152733,0.188641,-0.035908,-0.002446
attn_L1_H7,2D2EA,0.254787,0.244299,0.010488,0.000650
attn_L1_H7,2D59A,0.119367,0.077051,0.042316,0.004562
attn_L1_H7,2D5MA,-0.012152,0.017049,-0.029201,-0.002411
attn_L1_H7,2DYIA,0.215729,0.204800,0.010929,0.001091
attn_L1_H7,2GK4A,0.264908,0.255902,0.009006,0.001019
attn_L1_H7,2II1A,0.085634,0.099109,-0.013475,-0.000999
attn_L1_H7,2O2KA,0.250362,0.295936,-0.045574,-0.007537
attn_L1_H7,2OZEA,0.001459,0.038087,-0.036628,-0.003753
attn_L1_H7,2PJZA,0.111966,0.080600,0.031366,0.002341
attn_L1_H7,2WAWA,0.069606,0.086772,-0.017165,-0.000988
attn_L1_H7,2YC3A,0.070878,0.053257,0.017621,0.001685
attn_L1_H7,3BZMA,0.086125,0.095825,-0.009700,-0.003389
attn_L1_H7,3C8MA,0.038806,0.027639,0.011167,0.000567
attn_L1_H7,3EYEA,0.008566,0.010551,-0.001985,-0.000138
attn_L1_H7,3FF9A,0.039612,0.039475,0.000137,0.000023
attn_L1_H7,3FZ4A,0.080128,0.082148,-0.002020,-0.000233
attn_L1_H7,3G5TA,0.131960,0.096746,0.035215,0.001748
attn_L1_H7,3GX8A,0.061794,0.061868,-0.000074,-0.000008
attn_L1_H7,3JRNA,0.046086,0.039664,0.006422,0.000389
attn_L1_H7,3L51A,0.122953,0.129614,-0.006662,-0.000713
attn_L1_H7,3LWXA,0.267133,0.231497,0.035636,0.005461
attn_L1_H7,3N08A,0.153706,0.141304,0.012402,0.001271
attn_L1_H7,3NY7A,0.211099,0.170620,0.040479,0.003732
attn_L1_H7,3PU9A,0.023777,0.051682,-0.027904,-0.001888
attn_L1_H7,3R6DA,0.244268,0.227806,0.016462,0.001207
attn_L1_H7,3RHBA,0.007093,0.016120,-0.009027,-0.000673
attn_L1_H7,3ZSJA,0.040548,0.048007,-0.007459,-0.000578
attn_L1_H7,4GS1A,0.097346,0.096972,0.000374,0.000049
attn_L1_H7,4I8HA,0.099143,0.060204,0.038939,0.005981
attn_L1_H7,4K8WA,0.220460,0.216285,0.004176,0.000474
attn_L1_H7,4LBHA,-0.001425,-0.000425,-0.001000,-0.000115
attn_L1_H7,4LH6A,-0.021048,-0.002031,-0.019018,-0.001170
attn_L1_H7,4MUOA,0.124873,0.108165,0.016707,0.000813
attn_L1_H7,4MZCA,0.092640,0.067034,0.025606,0.003008
attn_L1_H7,4PEDA,0.115574,0.074822,0.040752,0.001605
attn_L1_H7,4RVCA,0.102594,0.078882,0.023712,0.002032
attn_L1_H7,4TL6A,0.015815,0.013293,0.002523,0.000171
attn_L1_H7,4WBJA,0.043423,0.042551,0.000872,0.000076
attn_L1_H7,4XRAA,0.266014,0.244504,0.021511,0.001021
attn_L1_H7,5AJGA,0.022655,0.041638,-0.018982,-0.001211
attn_L1_H8,1CUKA,0.230347,0.230704,-0.000357,-0.000028
attn_L1_H8,1F86A,-0.088553,-0.064363,-0.024190,-0.002051
attn_L1_H8,1G3QA,-0.025656,-0.011225,-0.014432,-0.000936
attn_L1_H8,1H4XA,-0.235271,-0.174328,-0.060943,-0.002603
attn_L1_H8,1HDKA,-0.015028,-0.011278,-0.003750,-0.000334
attn_L1_H8,1KMVA,0.249582,0.225462,0.024120,0.001373
attn_L1_H8,1S3CA,-0.028566,-0.002537,-0.026029,-0.003981
attn_L1_H8,1T2WA,-0.098474,-0.062259,-0.036214,-0.007776
attn_L1_H8,1U2KA,0.335186,0.189582,0.145604,0.010008
attn_L1_H8,2CZQA,0.081688,0.109906,-0.028218,-0.001922
attn_L1_H8,2D2EA,-0.004635,-0.013825,0.009190,0.000570
attn_L1_H8,2D59A,-0.038799,-0.034451,-0.004348,-0.000469
attn_L1_H8,2D5MA,0.132067,0.093212,0.038854,0.003208
attn_L1_H8,2DYIA,0.066911,0.036761,0.030150,0.003009
attn_L1_H8,2GK4A,0.303768,0.271298,0.032470,0.003674
attn_L1_H8,2II1A,-0.062345,-0.052941,-0.009403,-0.000697
attn_L1_H8,2O2KA,0.079252,0.074055,0.005197,0.000860
attn_L1_H8,2OZEA,-0.026963,-0.020636,-0.006327,-0.000648
attn_L1_H8,2PJZA,-0.008198,-0.010976,0.002778,0.000207
attn_L1_H8,2WAWA,0.015509,0.035612,-0.020103,-0.001157
attn_L1_H8,2YC3A,0.232612,0.244389,-0.011777,-0.001126
attn_L1_H8,3BZMA,0.087501,0.088846,-0.001344,-0.000470
attn_L1_H8,3C8MA,-0.043202,-0.019452,-0.023750,-0.001205
attn_L1_H8,3EYEA,0.023004,0.042135,-0.019131,-0.001326
attn_L1_H8,3FF9A,0.251045,0.245276,0.005769,0.000986
attn_L1_H8,3FZ4A,-0.031687,-0.021552,-0.010135,-0.001169
attn_L1_H8,3G5TA,-0.139066,-0.116979,-0.022087,-0.001096
attn_L1_H8,3GX8A,0.217043,0.198311,0.018732,0.001924
attn_L1_H8,3JRNA,0.082532,0.059871,0.022661,0.001373
attn_L1_H8,3L51A,-0.067426,-0.054145,-0.013281,-0.001422
attn_L1_H8,3LWXA,0.066787,0.065453,0.001333,0.000204
attn_L1_H8,3N08A,0.247075,0.238768,0.008307,0.000851
attn_L1_H8,3NY7A,0.234098,0.212561,0.021537,0.001985
attn_L1_H8,3PU9A,-0.031002,0.028570,-0.059572,-0.004031
attn_L1_H8,3R6DA,0.120315,0.126787,-0.006472,-0.000475
attn_L1_H8,3RHBA,-0.014688,-0.024476,0.009787,0.000729
attn_L1_H8,3ZSJA,-0.051504,-0.052762,0.001259,0.000098
attn_L1_H8,4GS1A,0.114127,0.068734,0.045392,0.005906
attn_L1_H8,4I8HA,-0.056250,-0.052156,-0.004094,-0.000629
attn_L1_H8,4K8WA,0.267574,0.257014,0.010560,0.001200
attn_L1_H8,4LBHA,-0.024475,-0.031794,0.007319,0.000838
attn_L1_H8,4LH6A,0.297693,0.255207,0.042486,0.002614
attn_L1_H8,4MUOA,0.359962,0.372714,-0.012752,-0.000620
attn_L1_H8,4MZCA,-0.059611,-0.065806,0.006195,0.000728
attn_L1_H8,4PEDA,0.056950,0.089573,-0.032623,-0.001285
attn_L1_H8,4RVCA,-0.018172,-0.008251,-0.009921,-0.000850
attn_L1_H8,4TL6A,-0.024355,-0.007710,-0.016645,-0.001130
attn_L1_H8,4WBJA,0.393592,0.368895,0.024697,0.002155
attn_L1_H8,4XRAA,-0.043345,-0.019293,-0.024053,-0.001141
attn_L1_H8,5AJGA,0.148586,0.132176,0.016410,0.001047
attn_L1_H9,1CUKA,-0.361005,-0.456592,0.095588,0.007412
attn_L1_H9,1F86A,-0.261420,-0.366105,0.104685,0.008876
attn_L1_H9,1G3QA,-0.405873,-0.477387,0.071514,0.004639
attn_L1_H9,1H4XA,-0.040889,-0.261569,0.220681,0.009425
